iter	Passed	Remaining
542	5205	4380
543	5212	4369
544	5221	4358
545	5231	4350
546	5240	4339
547	5248	4329
548	5259	4320
549	5267	4309
550	5275	4299
551	5286	4290
552	5296	4281
553	5304	4270
554	5313	4260
555	5321	4249
556	5331	4240
557	5341	4230
558	5349	4220
559	5359	4210
560	5367	4200
561	5377	4191
562	5388	4182
563	5395	4171
564	5405	4162
565	5415	4152
566	5424	4142
567	5434	4133
568	5441	4122
569	5449	4111
570	5460	4102
571	5469	4092
572	5479	4083
573	5490	4074
574	5498	4064
575	5508	4055
576	5519	4046
577	5527	4036
578	5538	4027
579	5548	4017
580	5557	4007
581	5567	3998
582	5577	3989
583	5585	3978
584	5595	3969
585	5603	3958
586	5610	3947
587	5620	3938
588	5628	3927
589	5637	3917
590	5646	3907
591	5654	3896
592	5664	3887
593	5672	3877
594	5682	3867
595	5692	3858
596	5701	3848
597	5711	3839
598	5720	3829
599	5729	3819
600	5738	3809
601	5745	3798
602	5755	3789
603	5763	3778
604	5770	3767
605	5780	3758
606	5787	3747
607	5796	3737
608	5804	3726
609	5815	3717
610	5824	3707
611	5830	3696
612	5840	3687
613	5848	3676
614	5857	3667
615	5866	3657
616	5874	3646
617	5883	3636
618	5890	3625
619	5900	3616
620	5907	3605
621	5917	3596
622	5926	3586
623	5934	3576
624	5943	3566
625	5953	3556
626	5961	3546
627	5970	3536
628	5977	3525
629	5987	3516
630	5994	3505
631	6004	3496
632	6014	3487
633	6021	3476
634	6031	3466
635	6038	3456
636	6048	3446
637	6056	3436
638	6064	3426
639	6073	3416
640	6083	3407
641	6092	3397
642	6101	3387
643	6109	3377
644	6119	3368
645	6127	3357
646	6136	3348
647	6146	3338
648	6153	3328
649	6162	3318
650	6170	3308
651	6179	3298
652	6187	3287
653	6197	3278
654	6207	3269
655	6217	3260
656	6225	3250
657	6236	3241
658	6244	3231
659	6254	3222
660	6264	3212
661	6272	3202
662	6282	3193
663	6293	3184
664	6301	3174
665	6311	3165
666	6319	3154
667	6328	3145
668	6338	3136
669	6347	3126
